"Розподіл населення регіонів України за рідною мовою - Регіон, Вказали у",,
"якості рідної мову, Рік , Зміст",,
,,
 , ,2001(05.12)
 , ,"Населення регіону, осіб"
Україна,,
 ,Всього,48240902
 ,українську,32577468
 ,російську,14273670
 ,білоруську,56249
 ,болгарську,134396
 ,вірменську,51847
 ,гагаузьку,23765
 ,кримськотатарську,231382
 ,молдовську,185032
 ,німецьку,4206
 ,польську,19195
 ,циганську,22603
 ,румунську,142671
 ,словацьку,2768
 ,угорську,161618
 ,караїмську,96
 ,єврейську,3307
 ,грецьку,6029
 ,іншу мову,143163
 ,не вказали мову,201437
Автономна Республіка Крим,,
 ,Всього,2024056
 ,українську,202761
 ,російську,1549422
 ,білоруську,5204
 ,болгарську,444
 ,вірменську,4739
 ,гагаузьку,148
 ,кримськотатарську,229311
 ,молдовську,1239
 ,німецьку,246
 ,польську,171
 ,циганську,1304
 ,румунську,81
 ,словацьку,8
 ,угорську,59
 ,караїмську,54
 ,єврейську,94
 ,грецьку,677
 ,іншу мову,20192
 ,не вказали мову,7902
Вінницька область,,
 ,Всього,1763944
 ,українську,1672324
 ,російську,83531
 ,білоруську,971
 ,болгарську,110
 ,вірменську,640
 ,гагаузьку,53
 ,кримськотатарську,-
 ,молдовську,1723
 ,німецьку,35
 ,польську,244
 ,циганську,461
 ,румунську,62
 ,словацьку,1
 ,угорську,42
 ,караїмську,1
 ,єврейську,262
 ,грецьку,9
 ,іншу мову,1535
 ,не вказали мову,1940
Волинська область,,
 ,Всього,1057214
 ,українську,1028271
 ,російську,26499
 ,білоруську,1205
 ,болгарську,25
 ,вірменську,196
 ,гагаузьку,10
 ,кримськотатарську,-
 ,молдовську,160
 ,німецьку,21
 ,польську,155
 ,циганську,23
 ,румунську,18
 ,словацьку,14
 ,угорську,57
 ,караїмську,-
 ,єврейську,10
 ,грецьку,7
 ,іншу мову,543
 ,не вказали мову,-
Дніпропетровська область,,
 ,Всього,3561224
 ,українську,2386087
 ,російську,1136537
 ,білоруську,6239
 ,болгарську,498
 ,вірменську,5930
 ,гагаузьку,183
 ,кримськотатарську,3
 ,молдовську,1609
 ,німецьку,231
 ,польську,245
 ,циганську,2552
 ,румунську,94
 ,словацьку,10
 ,угорську,326
 ,караїмську,7
 ,єврейську,259
 ,грецьку,90
 ,іншу мову,9628
 ,не вказали мову,10696
Донецька область,,
 ,Всього,4825563
 ,українську,1163085
 ,російську,3615461
 ,білоруську,4842
 ,болгарську,370
 ,вірменську,6287
 ,гагаузьку,96
 ,кримськотатарську,2
 ,молдовську,1169
 ,німецьку,224
 ,польську,197
 ,циганську,2004
 ,румунську,59
 ,словацьку,12
 ,угорську,138
 ,караїмську,2
 ,єврейську,140
 ,грецьку,4209
 ,іншу мову,18493
 ,не вказали мову,8773
Житомирська область,,
 ,Всього,1389293
 ,українську,1292386
 ,російську,91317
 ,білоруську,1414
 ,болгарську,48
 ,вірменську,450
 ,гагаузьку,11
 ,кримськотатарську,1
 ,молдовську,735
 ,німецьку,70
 ,польську,648
 ,циганську,468
 ,румунську,50
 ,словацьку,6
 ,угорську,48
 ,караїмську,-
 ,єврейську,144
 ,грецьку,13
 ,іншу мову,1052
 ,не вказали мову,432
Закарпатська область,,
 ,Всього,1254614
 ,українську,1016268
 ,російську,36412
 ,білоруську,597
 ,болгарську,63
 ,вірменську,290
 ,гагаузьку,12
 ,кримськотатарську,-
 ,молдовську,366
 ,німецьку,1850
 ,польську,130
 ,циганську,2990
 ,румунську,32224
 ,словацьку,2575
 ,угорську,158729
 ,караїмську,-
 ,єврейську,85
 ,грецьку,10
 ,іншу мову,1719
 ,не вказали мову,294
Запорізька область,,
 ,Всього,1926810
 ,українську,967328
 ,російську,928616
 ,білоруську,2159
 ,болгарську,9112
 ,вірменську,3568
 ,гагаузьку,113
 ,кримськотатарську,296
 ,молдовську,748
 ,німецьку,148
 ,польську,75
 ,циганську,1355
 ,румунську,31
 ,словацьку,8
 ,угорську,112
 ,караїмську,8
 ,єврейську,110
 ,грецьку,161
 ,іншу мову,11464
 ,не вказали мову,1398
Івано-Франківська область,,
 ,Всього,1406129
 ,українську,1375275
 ,російську,24984
 ,білоруську,639
 ,болгарську,53
 ,вірменську,162
 ,гагаузьку,10
 ,кримськотатарську,-
 ,молдовську,369
 ,німецьку,54
 ,польську,462
 ,циганську,175
 ,румунську,61
 ,словацьку,9
 ,угорську,104
 ,караїмську,3
 ,єврейську,40
 ,грецьку,6
 ,іншу мову,600
 ,не вказали мову,3123
Київська область,,
 ,Всього,1821061
 ,українську,1680322
 ,російську,130526
 ,білоруську,3011
 ,болгарську,169
 ,вірменську,1394
 ,гагаузьку,47
 ,кримськотатарську,2
 ,молдовську,781
 ,німецьку,42
 ,польську,153
 ,циганську,520
 ,румунську,91
 ,словацьку,4
 ,угорську,87
 ,караїмську,-
 ,єврейську,71
 ,грецьку,13
 ,іншу мову,2419
 ,не вказали мову,1409
Кіровоградська область,,
 ,Всього,1125704
 ,українську,1000610
 ,російську,112802
 ,білоруську,1801
 ,болгарську,557
 ,вірменську,2228
 ,гагаузьку,52
 ,кримськотатарську,1
 ,молдовську,4934
 ,німецьку,52
 ,польську,45
 ,циганську,604
 ,румунську,60
 ,словацьку,7
 ,угорську,146
 ,караїмську,-
 ,єврейську,30
 ,грецьку,25
 ,іншу мову,1724
 ,не вказали мову,26
Луганська область,,
 ,Всього,2540191
 ,українську,762402
 ,російську,1748589
 ,білоруську,2697
 ,болгарську,148
 ,вірменську,2980
 ,гагаузьку,54
 ,кримськотатарську,-
 ,молдовську,693
 ,німецьку,82
 ,польську,85
 ,циганську,1280
 ,румунську,24
 ,словацьку,-
 ,угорську,61
 ,караїмську,-
 ,єврейську,54
 ,грецьку,50
 ,іншу мову,6899
 ,не вказали мову,14093
Львівська область,,
 ,Всього,2605956
 ,українську,2484094
 ,російську,98286
 ,білоруську,1722
 ,болгарську,108
 ,вірменську,515
 ,гагаузьку,32
 ,кримськотатарську,2
 ,молдовську,423
 ,німецьку,115
 ,польську,10756
 ,циганську,385
 ,румунську,86
 ,словацьку,24
 ,угорську,332
 ,караїмську,1
 ,єврейську,137
 ,грецьку,18
 ,іншу мову,1567
 ,не вказали мову,7353
Миколаївська область,,
 ,Всього,1262899
 ,українську,873898
 ,російську,369489
 ,білоруську,1677
 ,болгарську,1693
 ,вірменську,2453
 ,гагаузьку,393
 ,кримськотатарську,2
 ,молдовську,7316
 ,німецьку,66
 ,польську,99
 ,циганську,643
 ,румунську,54
 ,словацьку,3
 ,угорську,60
 ,караїмську,-
 ,єврейську,80
 ,грецьку,27
 ,іншу мову,3679
 ,не вказали мову,1267
Одеська область,,
 ,Всього,2455666
 ,українську,1136571
 ,російську,1030090
 ,білоруську,2680
 ,болгарську,119505
 ,вірменську,3889
 ,гагаузьку,22148
 ,кримськотатарську,12
 ,молдовську,92740
 ,німецьку,304
 ,польську,217
 ,циганську,2373
 ,румунську,341
 ,словацьку,11
 ,угорську,88
 ,караїмську,7
 ,єврейську,494
 ,грецьку,406
 ,іншу мову,11354
 ,не вказали мову,32436
Полтавська область,,
 ,Всього,1621207
 ,українську,1458726
 ,російську,153513
 ,білоруську,2025
 ,болгарську,99
 ,вірменську,1649
 ,гагаузьку,38
 ,кримськотатарську,-
 ,молдовську,1415
 ,німецьку,64
 ,польську,55
 ,циганську,602
 ,румунську,45
 ,словацьку,1
 ,угорську,254
 ,караїмську,-
 ,єврейську,54
 ,грецьку,20
 ,іншу мову,2647
 ,не вказали мову,-
Рівненська область,,
 ,Всього,1171445
 ,українську,1136355
 ,російську,31965
 ,білоруську,1369
 ,болгарську,36
 ,вірменську,159
 ,гагаузьку,12
 ,кримськотатарську,-
 ,молдовську,196
 ,німецьку,20
 ,польську,200
 ,циганську,123
 ,румунську,38
 ,словацьку,23
 ,угорську,55
 ,караїмську,-
 ,єврейську,24
 ,грецьку,10
 ,іншу мову,659
 ,не вказали мову,201
Сумська область,,
 ,Всього,1296763
 ,українську,1080128
 ,російську,201050
 ,білоруську,1489
 ,болгарську,61
 ,вірменську,721
 ,гагаузьку,15
 ,кримськотатарську,4
 ,молдовську,370
 ,німецьку,36
 ,польську,29
 ,циганську,622
 ,румунську,23
 ,словацьку,2
 ,угорську,56
 ,караїмську,1
 ,єврейську,15
 ,грецьку,10
 ,іншу мову,1379
 ,не вказали мову,10752
Тернопільська область,,
 ,Всього,1138500
 ,українську,1119574
 ,російську,13562
 ,білоруську,398
 ,болгарську,39
 ,вірменську,166
 ,гагаузьку,13
 ,кримськотатарську,-
 ,молдовську,247
 ,німецьку,27
 ,польську,346
 ,циганську,18
 ,румунську,33
 ,словацьку,4
 ,угорську,79
 ,караїмську,-
 ,єврейську,13
 ,грецьку,8
 ,іншу мову,470
 ,не вказали мову,3503
Харківська область,,
 ,Всього,2895813
 ,українську,1557980
 ,російську,1282659
 ,білоруську,3402
 ,болгарську,199
 ,вірменську,5221
 ,гагаузьку,54
 ,кримськотатарську,7
 ,молдовську,804
 ,німецьку,104
 ,польську,146
 ,циганську,1522
 ,румунську,30
 ,словацьку,4
 ,угорську,258
 ,караїмську,3
 ,єврейську,156
 ,грецьку,84
 ,іншу мову,14213
 ,не вказали мову,28967
Херсонська область,,
 ,Всього,1172689
 ,українську,858336
 ,російську,291483
 ,білоруську,2057
 ,болгарську,239
 ,вірменську,3079
 ,гагаузьку,81
 ,кримськотатарську,799
 ,молдовську,1802
 ,німецьку,103
 ,польську,76
 ,циганську,940
 ,румунську,60
 ,словацьку,1
 ,угорську,127
 ,караїмську,-
 ,єврейську,53
 ,грецьку,33
 ,іншу мову,11468
 ,не вказали мову,1952
Хмельницька область,,
 ,Всього,1426649
 ,українську,1358720
 ,російську,58343
 ,білоруську,840
 ,болгарську,57
 ,вірменську,796
 ,гагаузьку,25
 ,кримськотатарську,-
 ,молдовську,686
 ,німецьку,22
 ,польську,2567
 ,циганську,281
 ,румунську,61
 ,словацьку,4
 ,угорську,65
 ,караїмську,-
 ,єврейську,134
 ,грецьку,3
 ,іншу мову,3443
 ,не вказали мову,602
Черкаська область,,
 ,Всього,1398313
 ,українську,1293342
 ,російську,93079
 ,білоруську,1281
 ,болгарську,138
 ,вірменську,1227
 ,гагаузьку,29
 ,кримськотатарську,-
 ,молдовську,883
 ,німецьку,35
 ,польську,69
 ,циганську,702
 ,румунську,29
 ,словацьку,2
 ,угорську,108
 ,караїмську,-
 ,єврейську,68
 ,грецьку,21
 ,іншу мову,1620
 ,не вказали мову,5680
Чернівецька область,,
 ,Всього,919028
 ,українську,694468
 ,російську,48434
 ,білоруську,453
 ,болгарську,116
 ,вірменську,170
 ,гагаузьку,24
 ,кримськотатарську,1
 ,молдовську,62444
 ,німецьку,90
 ,польську,1464
 ,циганську,73
 ,румунську,108859
 ,словацьку,-
 ,угорську,48
 ,караїмську,-
 ,єврейську,299
 ,грецьку,11
 ,іншу мову,889
 ,не вказали мову,1185
Чернігівська область,,
 ,Всього,1236065
 ,українську,1100674
 ,російську,126830
 ,білоруську,2377
 ,болгарську,62
 ,вірменську,554
 ,гагаузьку,27
 ,кримськотатарську,5
 ,молдовську,305
 ,німецьку,20
 ,польську,36
 ,циганську,453
 ,румунську,48
 ,словацьку,5
 ,угорську,40
 ,караїмську,-
 ,єврейську,37
 ,грецьку,5
 ,іншу мову,878
 ,не вказали мову,3709
м. Київ,,
 ,Всього,2566953
 ,українську,1851994
 ,російську,648653
 ,білоруську,3040
 ,болгарську,389
 ,вірменську,1987
 ,гагаузьку,64
 ,кримськотатарську,8
 ,молдовську,654
 ,німецьку,136
 ,польську,497
 ,циганську,129
 ,румунську,98
 ,словацьку,28
 ,угорську,133
 ,караїмську,7
 ,єврейську,431
 ,грецьку,91
 ,іншу мову,9335
 ,не вказали мову,49279
м. Севастополь,,
 ,Всього,377153
 ,українську,25489
 ,російську,341538
 ,білоруську,660
 ,болгарську,58
 ,вірменську,397
 ,гагаузьку,21
 ,кримськотатарську,926
 ,молдовську,221
 ,німецьку,9
 ,польську,28
 ,циганську,1
 ,румунську,11
 ,словацьку,2
 ,угорську,6
 ,караїмську,2
 ,єврейську,13
 ,грецьку,12
 ,іншу мову,3294
 ,не вказали мову,4465
,,
 ,,
Пояснення умовних знакiв: ,,
тире (-) - явища не було ,,
"нуль (0.00) - явище відбулося, але у величинах менших, нiж тi, що ",,
можуть бути вираженi використаними цифровими розрядами,,
